1572 MEMORY LEAK DETECTED!
At address (000001F61DA51C90), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 78
At address (000001F61DAB0E20), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB0EB0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB0F40), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB0FD0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB10F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1180), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1210), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB12A0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1330), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB13C0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1450), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB14E0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1570), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1600), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1690), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1720), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB17B0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1840), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB18D0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1960), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB19F0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 145
At address (000001F61DAB1A80), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1B10), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1BA0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1C30), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1CC0), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
At address (000001F61DAB1D50), Declared in file d:\sneks\sneks\sneks\src\ecs\entitymanager.cpp, line 141
