13953 MEMORY LEAK DETECTED!
At address (0000016798618020), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986180E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618260), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618320), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986183E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986184A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618560), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618620), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986186E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986187A0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618860), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618920), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000167986189E0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618AA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618B60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618C20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618CE0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618DA0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618E60), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798618F20), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 45
At address (0000016798619220), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (00000167986192E0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (0000016798619340), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (00000167986193A0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619400), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (0000016798619460), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619580), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619640), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619700), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619760), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (00000167986197C0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619820), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619880), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (00000167986198E0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619AC0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619B20), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619BE0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619CA0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619D00), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (0000016798619D60), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (0000016798619DC0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619E20), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (0000016798619E80), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (0000016798619EE0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619F40), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (0000016798619FA0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861A000), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A060), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861A0C0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A180), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A1E0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A240), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A2A0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861A300), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A420), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A480), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A4E0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A540), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A5A0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A600), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A660), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A6C0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A720), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
At address (000001679861A7E0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 66
At address (000001679861A840), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 68
At address (000001679861A8A0), Declared in file d:\sneks\sneks\sneks\src\systems\graphicssystem.cpp, line 67
