1625 MEMORY LEAK DETECTED!
At address (000002C680DCF2C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DCF4C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DCF640), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DCF8C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DCFFC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD08C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD0A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD10C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD1940), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD1B40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD1F40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD1FC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD23C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD28C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD2AC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD2C40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD3340), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD3BC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD3D40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD41C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD45C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD4E40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD4FC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD51C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD5340), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD5A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD5CC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD6140), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD6440), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD68C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD6A40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD6DC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD7240), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD75C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD76C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD8140), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD8640), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD8D40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD8E40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD90C0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD9AC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD9D40), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DD9FC0), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DDA040), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DDA240), Declared in file d:\sneks\sneks\sneks\src\ecs\componentmanager.cpp, line 38
At address (000002C680DDA790), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDA7F0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDA850), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DDA8B0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DDA910), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DDA970), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DDA9D0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDAA30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDAA90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DDAAF0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DDABB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDAC10), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DDAC70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
At address (000002C680DDACD0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDAD30), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DDAD90), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDAE50), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 9
At address (000002C680DDAEB0), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 7
At address (000002C680DDAF70), Declared in file d:\sneks\sneks\sneks\src\components\drawcomponent.cpp, line 8
