9811 MEMORY LEAK(S) DETECTED!
At address (00000288A5B59380), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B59450), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B595F0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B596C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B59790), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B59930), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B59A00), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B59AD0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B59E10), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B5A150), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B5A220), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B5A3C0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 87
At address (00000288A5B5A490), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B5A560), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 45
At address (00000288A5B5A690), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5A6F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5A750), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5A7B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5A810), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5A870), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5A8D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5A990), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5A9F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5AA50), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5AAB0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5AB10), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5AB70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5ABD0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5AC30), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5AC90), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5ACF0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5ADB0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5AE10), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5AE70), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5AED0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5AF30), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5AF90), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5AFF0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5B050), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B0B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5B110), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5B170), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B1D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B230), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5B290), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5B2F0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B350), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B3B0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B410), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 7
At address (00000288A5B5B470), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 8
At address (00000288A5B5B4D0), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 10
At address (00000288A5B5B530), Declared in file d:\libraries\desktop\snekss\sneks\src\components\drawcomponent.cpp, line 9
At address (00000288A5B5D540), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (00000288A5B5D5B0), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (00000288A5B5D690), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
At address (00000288A5B5D850), Declared in file d:\libraries\desktop\snekss\sneks\src\ecs\componentmanager.cpp, line 78
